timestamp,mem_mb,fs_init_mb,fs_delta_mb,repeat_idx,pair_idx,operation,elapsed_ms,comment
00:35:57,0,96,0,3,5,RESTORE,126.437,
00:36:02,0,96,0,3,0,CLEANUP,331.300,
00:36:28,0,128,0,1,0,BUILD,20617.394,
00:36:33,0,128,0,1,0,INFO.du,652131938.000,du_B=652131938
00:36:43,0,128,0,1,1,SNAPSHOT,72.563,
00:36:53,0,128,0,1,1,RESTORE,115.168,
00:37:04,0,128,0,1,2,SNAPSHOT,55.901,
00:37:14,0,128,0,1,2,RESTORE,114.965,
00:37:24,0,128,0,1,3,SNAPSHOT,53.416,
00:37:34,0,128,0,1,3,RESTORE,115.046,
00:37:44,0,128,0,1,4,SNAPSHOT,55.863,
00:37:54,0,128,0,1,4,RESTORE,115.586,
00:38:04,0,128,0,1,5,SNAPSHOT,53.929,
00:38:15,0,128,0,1,5,RESTORE,117.386,
00:38:20,0,128,0,1,0,CLEANUP,325.439,
00:38:41,0,128,0,2,0,BUILD,20567.949,
00:38:46,0,128,0,2,0,INFO.du,652138175.000,du_B=652138175
00:38:56,0,128,0,2,1,SNAPSHOT,73.728,
00:39:06,0,128,0,2,1,RESTORE,114.018,
00:39:16,0,128,0,2,2,SNAPSHOT,54.041,
00:39:26,0,128,0,2,2,RESTORE,114.367,
00:39:37,0,128,0,2,3,SNAPSHOT,58.094,
00:39:47,0,128,0,2,3,RESTORE,113.957,
00:39:57,0,128,0,2,4,SNAPSHOT,55.167,
00:40:07,0,128,0,2,4,RESTORE,114.210,
00:40:17,0,128,0,2,5,SNAPSHOT,54.570,
00:40:27,0,128,0,2,5,RESTORE,115.494,
00:40:33,0,128,0,2,0,CLEANUP,331.554,
00:40:53,0,128,0,3,0,BUILD,20572.779,
00:40:59,0,128,0,3,0,INFO.du,652144412.000,du_B=652144412
00:41:09,0,128,0,3,1,SNAPSHOT,73.671,
00:41:19,0,128,0,3,1,RESTORE,113.339,
00:41:29,0,128,0,3,2,SNAPSHOT,57.525,
00:41:39,0,128,0,3,2,RESTORE,114.146,
00:41:49,0,128,0,3,3,SNAPSHOT,53.594,
00:41:59,0,128,0,3,3,RESTORE,131.317,
00:42:10,0,128,0,3,4,SNAPSHOT,57.231,
00:42:20,0,128,0,3,4,RESTORE,114.607,
00:42:30,0,128,0,3,5,SNAPSHOT,50.141,
00:42:40,0,128,0,3,5,RESTORE,117.705,
00:42:45,0,128,0,3,0,CLEANUP,320.580,
00:43:11,0,256,0,1,0,BUILD,20500.283,
00:43:16,0,256,0,1,0,INFO.du,786368432.000,du_B=786368432
00:43:26,0,256,0,1,1,SNAPSHOT,73.309,
